SpriteSheet,GraphicsTurns,UnitColor
cursor\arrow,False,False
cursor\drag,False,False
cursor\illegal,False,False
cursor\magg,False,False
cursor\magr,False,False
cursor\magy,False,False
cursor\scrolld,False,False
cursor\scrolldl,False,False
cursor\scrolldr,False,False
cursor\scrolll,False,False
cursor\scrollr,False,False
cursor\scrollu,False,False
cursor\scrollul,False,False
cursor\scrollur,False,False
cursor\targg,False,False
cursor\targn,False,False
cursor\targr,False,False
cursor\targy,False,False
cursor\time,False,False
unit\bullet\blastcan,True,False
unit\bullet\circle14,False,False
unit\bullet\dragbull,False,False
unit\bullet\epbbul,False,False
unit\bullet\ephfire,False,False
unit\bullet\explo1,False,False
unit\bullet\eycbull,False,False
unit\bullet\gemini,False,False
unit\bullet\grenade,False,False
unit\bullet\hks,False,False
unit\bullet\missile,False,False
unit\bullet\parasite,False,False
unit\bullet\pdriphit,False,False
unit\bullet\psibeam,False,False
unit\bullet\pspark,False,False
unit\bullet\scvspark,True,False
unit\bullet\shockbmb,False,False
unit\bullet\smmissle,False,False
unit\bullet\Spike,False,False
unit\bullet\spore2,False,False
unit\bullet\spores,False,False
unit\bullet\squib1,False,False
unit\bullet\squib2,False,False
unit\bullet\tentacle,False,False
unit\bullet\tspark,True,False
unit\bullet\zspark,False,False
unit\cmdbtns\cmdicons,False,False
unit\cmdbtns\pcmdbtns,False,False
unit\cmdbtns\tcmdbtns,False,False
unit\cmdbtns\zcmdbtns,False,False
unit\neutral\min01,False,False
unit\neutral\min01sha,False,False
unit\neutral\min02,False,False
unit\neutral\min02sha,False,False
unit\neutral\min03,False,False
unit\neutral\min03sha,False,False
unit\terran\control,False,True
unit\terran\controlt,False,False
unit\terran\marine,True,True
unit\terran\scv,True,True
unit\terran\tccshad,False,False
unit\terran\tmadeath,False,False
unit\terran\tmashad,True,False
unit\thingy\o022,False,False
unit\thingy\o032,False,False
unit\thingy\o048,False,False
unit\thingy\o062,False,False
unit\thingy\o072,False,False
unit\thingy\o094,False,False
unit\thingy\o110,False,False
unit\thingy\o122,False,False
unit\thingy\o146,False,False
unit\thingy\o224,False,False
unit\thingy\od022,False,False
unit\thingy\od032,False,False
unit\thingy\od048,False,False
unit\thingy\od062,False,False
unit\thingy\od072,False,False
unit\thingy\od094,False,False
unit\thingy\od110,False,False
unit\thingy\od122,False,False
unit\thingy\od146,False,False
unit\thingy\od224,False,False
unit\thingy\tscglow,False,False
unit\wirefram\grpwire,False,False
unit\wirefram\wirefram,False,False
unit\wirefram\wirefram\000,False,False
unit\wirefram\wirefram\007,False,False
unit\wirefram\wirefram\106,False,False
